edge_id,length
:-1000_0,9.03
:-1000_2,4.11
:-1000_7,8.75
:-1000_3,5.18
:-1000_4,13.29
:-1000_5,5.04
:-1000_6,9.27
:-10004_0,9.45
:-10004_3,5.11
:-10004_8,12.69
:-10004_4,10.21
:-10004_5,11.05
:-10034_0,5.76
:-10034_1,8.99
:-10034_2,7.46
:-10034_3,4.97
:-10034_6,5.54
:-10034_4,5.04
:-10034_5,9.31
:-1004_0,3.47
:-10042_0,9.43
:-10042_1,5.13
:-10042_6,5.16
:-10042_2,5.03
:-10042_3,10.33
:-10042_4,5.00
:-10042_5,9.48
:-10046_0,9.88
:-10046_3,5.80
:-10046_4,20.78
:-10046_5,5.80
:-10046_7,20.78
:-10046_9,4.43
:-10046_10,4.44
:-10052_0,6.13
:-10052_1,2.88
:-10052_4,4.95
:-10052_2,5.04
:-10052_3,6.18
:-1008_0,5.02
:-1008_1,18.06
:-1008_6,3.31
:-1008_2,8.12
:-1008_3,7.14
:-1008_4,6.65
:-1008_5,5.41
:-10086_0,5.13
:-10086_1,12.34
:-10086_2,7.27
:-10086_3,10.02
:-10086_5,6.90
:-10086_7,4.75
:-10086_8,9.08
:-1010_0,9.25
:-1010_1,5.09
:-1010_6,5.10
:-1010_2,4.98
:-1010_3,10.21
:-1010_4,4.97
:-1010_5,9.42
:-10100_0,6.32
:-10100_1,3.04
:-10100_4,4.84
:-10100_2,5.06
:-10100_3,6.24
:-10102_0,5.20
:-10102_1,9.79
:-10102_2,10.39
:-10102_3,5.73
:-10102_6,5.09
:-10102_4,5.44
:-10102_5,11.17
:-10124_0,4.59
:-10124_1,8.26
:-10124_2,4.51
:-10124_3,7.98
:-10124_4,4.77
:-10124_5,3.41
:-10124_6,4.61
:-10130_0,16.81
:-10130_1,24.59
:-10130_4,5.91
:-10130_16,14.47
:-10130_5,5.23
:-10130_6,29.93
:-10130_7,8.81
:-10130_17,17.34
:-10130_8,15.52
:-10130_9,25.43
:-10130_12,8.73
:-10130_18,16.99
:-10130_13,5.88
:-10130_14,29.00
:-10130_15,10.68
:-10130_19,15.47
:-10132_0,5.18
:-10132_1,9.13
:-10132_2,7.47
:-10132_3,4.10
:-10132_6,5.24
:-10132_4,6.29
:-10132_5,11.09
:-10134_0,9.75
:-10134_1,5.53
:-10134_6,5.32
:-10134_2,5.13
:-10134_3,10.48
:-10134_4,5.37
