edge_id,length
:102222884-AddedOffRampNode_0,8.40
:1179777771_0,19.11
:1179777771_1,0.54
:1179777771_4,1.20
:1179777771_2,18.07
:1179777771_3,0.73
:1179777771_5,0.73
:1198693653_0,34.19
:1198693653_1,34.18
:1198697853_0,20.89
:1198697853_1,20.76
:1198698273_0,6.08
:1198698273_1,2.34
:1198698273_4,2.34
:1198698273_2,6.54
:1198698273_3,2.34
:1198698273_5,2.34
:1198714342_0,38.11
:1198714342_1,38.10
:1198719185_0,32.69
:1198719185_1,32.70
:1198729090_0,5.23
:1198729090_1,2.34
:1198729090_4,2.34
:1198729090_2,5.08
:1198729090_3,2.34
:1198729090_5,2.34
:1198731798_0,23.76
:1198731798_1,44.76
:1198731798_2,44.75
:1198740290_0,2.79
:1198740290_1,2.80
:1198744114_0,2.99
:1198744114_1,2.99
:1198751638_0,10.03
:1198751638_1,15.36
:1198751638_2,13.16
:1198751638_3,14.05
:1198751638_4,6.80
:1198751638_5,2.34
:1198751638_12,8.23
:1198751638_13,2.34
:1198751638_6,9.59
:1198751638_7,14.31
:1198751638_8,4.67
:1198751638_9,9.34
:1198751638_10,15.26
:1198751638_11,6.98
:1198751638_14,3.78
:1198756230_0,2.94
:1198756230_1,2.95
:1198756881_0,5.12
:1198756881_1,1.46
:1198756881_2,5.17
:1198756881_3,1.46
:1198758976_0,29.61
:1198758976_1,28.92
:1198759964_0,9.38
:1198759964_1,14.21
:1198759964_3,2.68
:1198759964_11,2.31
:1198759964_4,13.78
:1198759964_6,5.28
:1198759964_7,2.34
:1198759964_12,11.92
:1198759964_13,2.34
:1198759964_8,9.04
:1198759964_9,16.65
:1198759964_10,4.67
:1198773557_0,95.95
:1198773557_1,95.94
:1198782344_0,32.06
:1198782344_1,32.05
:1198789080_0,4.89
:1198789080_1,4.74
:1198789080_2,7.18
:1198789080_3,4.67
:1198798400_0,30.18
:1198798400_1,30.19
:1198805657_0,2.98
:1198811443_0,22.51
:1198811443_1,22.51
:1198812876_0,36.77
:1198812876_1,36.77
:1198839562_0,22.03
:1198839562_1,22.04
:1198844879_0,2.87
:1198844879_1,2.87
:1198847919_0,3.06
:1198847919_1,3.04
:1198849631_0,33.74
:1198849631_1,33.74
:1198851115_0,31.26
:1198851115_1,31.26
:1198851638_0,10.38
:1198851638_1,12.36
:1198851638_2,10.94
:1198884241_0,3.03
:1198884241_1,3.04
:1198896991_0,19.32
:1198896991_1,19.32
:1198898250_0,3.00
:1198898250_1,3.01
:1198922236_0,27.33
:1198922236_1,27.32
:1198923912_0,31.99
:1198923912_1,31.99
:1198927330_0,42.86
:1198927330_1,42.86
:1198931410_0,2.91
:1200712776_0,9.56
:1200712776_1,14.64
:1200712776_2,5.96
:1200712776_3,2.34
:1200712776_16,8.27
:1200712776_17,2.34
:1200712776_4,9.03
:1200712776_5,14.72
:1200712776_6,14.38
:1200712776_7,4.67
:1200712776_8,9.24
:1200712776_9,14.62
:1200712776_10,5.91
:1200712776_11,2.34
:1200712776_18,8.52
:1200712776_19,2.34
:1200712776_12,9.04
:1200712776_13,14.53
:1200712776_14,14.47
:1200712776_15,4.67
:1200729949_0,5.06
:1200729949_1,2.34
:1200729949_4,2.34
:1200729949_2,5.19
:1200729949_3,2.34
:1200729949_5,2.34
:1201129981_0,1.46
:1201230483_0,9.30
:1201230483_1,16.83
:1201230483_2,6.22
:1201230483_3,2.34
:1201230483_16,8.07
:1201230483_17,2.34
:1201230483_4,9.06
:1201230483_5,14.79
:1201230483_6,5.32
:1201230483_7,2.34
:1201230483_18,10.80
:1201230483_19,2.34
:1201230483_8,10.86
:1201230483_9,16.69
:1201230483_10,6.97
:1201230483_11,2.34
:1201230483_20,9.51
:1201230483_21,2.34
:1201230483_12,11.54
:1201230483_13,14.89
:1201230483_14,6.28
:1201230483_15,2.34
:1201230483_22,8.22
:1201230483_23,2.34
:1201243499_0,5.71
:1201243499_1,2.34
:1201243499_4,2.34
:1201243499_2,5.24
:1201243499_3,2.34
:1201243499_5,2.34
:1206822807_0,9.02
:1206822807_1,14.15
:1206822807_2,4.67
:1206822807_3,9.06
:1206822807_4,14.35
:1206822807_5,2.34
:1206822807_9,2.34
:1206822807_6,14.28
:1206822807_7,5.81
:1206822807_8,2.34
:1206822807_10,8.36
:1206822807_11,2.34
:1217813057_0,12.52
:1217813057_2,12.37
:1217813075_0,8.71
:1217813075_1,9.40
:1217813115_0,8.15
:1217813115_1,7.01
:1217813115_2,2.16
:1217813115_3,1.86
:1217813115_4,6.35
:1217813115_5,2.81
:1217813126_0,4.85
:1217813126_1,5.73
:1217813126_2,5.29
:1217813130_0,0.33
:1217813130_1,0.11
:1217813130_2,2.34
:1217813130_3,2.34
:1219684977_0,4.67
:1219685083_0,8.04
:1219685083_1,2.34
:1219685083_4,2.34
:1219685083_2,8.03
:1219685083_3,2.34
:1219685083_5,2.34
:1219685115_0,4.67
:1219685131_0,5.00
:1219685558_0,9.44
:1219685558_1,7.81
:1219685558_2,7.82
:1219685558_3,4.67
:1219685916_0,4.67
:1219686241_0,5.55
:1219686241_1,9.45
:1219686241_2,4.67
:1219686241_3,9.43
:1219686241_4,10.81
:1219686241_5,4.67
:1219686241_6,5.16
:1219686241_7,10.23
:1219686241_8,4.67
:1227981375_0,6.75
:1227981375_1,7.73
:1227981375_2,5.86
:1227981375_3,4.67
:1236538980_0,4.90
:1236538980_1,2.34
:1236538980_4,2.34
:1236538980_2,4.97
:1236538980_3,2.34
:1236538980_5,2.34
:1274576224_0,3.21
:1274576224_1,6.30
:1274576224_2,1.87
:1274576224_3,2.34
:1274576224_16,5.72
:1274576224_17,2.34
:1274576224_4,4.71
:1274576224_5,9.96
:1274576224_6,9.56
:1274576224_7,1.46
:1274576224_8,3.21
:1274576224_9,6.27
:1274576224_10,2.00
:1274576224_11,2.34
:1274576224_18,5.63
:1274576224_19,2.34
:1274576224_12,4.59
:1274576224_13,9.87
:1274576224_14,9.15
:1274576224_15,1.46
:1274576232_0,9.28
:1274576232_1,15.56
:1274576232_2,2.34
:1274576232_9,2.34
:1274576232_3,15.60
:1274576232_4,5.56
:1274576232_5,2.34
:1274576232_10,10.37
:1274576232_11,2.34
:1274576232_6,12.66
:1274576232_7,17.07
:1274576232_8,4.67
:1274576234_0,9.26
:1274576234_1,15.48
:1274576234_2,2.34
:1274576234_9,2.34
:1274576234_3,15.48
:1274576234_4,5.49
:1274576234_5,2.34
:1274576234_10,10.34
:1274576234_11,2.34
:1274576234_6,12.56
:1274576234_7,16.95
:1274576234_8,4.67
:130117211_0,4.67
:130152916_0,7.97
:130152916_1,8.02
:130152929_0,0.29
:130153204_0,7.84
:130153204_1,8.03
:130153218_0,0.24
:130153221_0,7.90
:130153221_1,7.11
:1332961363_0,5.04
:1332961363_1,1.46
:1332961363_2,5.01
:1332961363_3,1.46
:1332961639_0,5.28
:1332961639_1,9.33
:1332961639_2,2.34
:1332961639_9,2.34
:1332961639_3,9.15
:1332961639_4,4.91
:1332961639_5,2.34
:1332961639_10,5.50
:1332961639_11,2.34
:1332961639_6,5.06
:1332961639_7,10.05
:1332961639_8,4.67
:1332962760_0,5.90
:1332962760_1,0.73
:1332962760_4,0.73
:1332962760_2,5.58
:1332962760_3,0.73
:1332962760_5,0.73
:1332963360_0,9.13
:1332963360_2,4.24
:1332963360_3,2.34
:1332963360_11,8.60
:1332963360_12,2.34
:1332963360_4,5.00
:1332963360_5,12.74
:1332963360_6,4.67
:1332963360_7,5.03
:1332963360_8,9.31
:1332963360_10,2.34
:1332963360_13,2.34
:1400596012_0,6.35
:1400596012_1,2.34
:1400596012_4,2.34
:1400596012_2,5.32
:1400596012_3,2.61
:1400596012_5,2.12
:1413177621_0,5.02
:1413177621_1,4.92
:1413177621_2,1.46
:1413177621_3,3.22
:1413177621_4,4.88
:1413177621_5,1.46
:1413177621_6,3.34
:1413177621_7,5.01
:1413177621_8,1.46
:1415414196_0,8.05
:1415414196_1,9.22
:1415414196_2,7.94
:1415414196_3,4.67
:1415414196_4,3.22
:1415414196_5,11.82
:1415414196_6,1.08
:1415414196_7,0.73
:1415414196_16,10.39
:1415414196_17,0.73
:1415414196_8,7.98
:1415414196_9,9.34
:1415414196_10,8.76
:1415414196_11,4.67
:1415414196_12,3.26
:1415414196_13,11.67
:1415414196_14,0.91
:1415414196_15,0.73
:1415414196_18,10.43
:1415414196_19,0.73
:1415414201_0,4.37
:1415414201_1,5.83
:1415414201_2,6.97
:1415414201_3,4.67
:1415414201_4,3.22
:1415414201_5,9.65
:1415414201_6,1.06
:1415414201_7,0.73
:1415414201_16,7.88
:1415414201_17,0.73
:1415414201_8,3.28
:1415414201_9,5.28
:1415414201_10,6.84
:1415414201_11,4.67
:1415414201_12,3.23
:1415414201_13,9.53
:1415414201_14,1.01
:1415414201_15,0.73
:1415414201_18,7.94
:1415414201_19,0.73
:1441018924_0,13.93
:1441018924_2,4.28
:1441018924_3,2.34
:1441018924_11,12.05
:1441018924_12,2.34
:1441018924_4,8.84
:1441018924_5,17.51
:1441018924_6,4.79
:1441018924_7,9.45
:1441018924_8,14.25
:1441018924_10,2.34
:1441018924_13,2.34
:1514952189_0,8.45
:1514952189_1,4.68
:1514952189_2,7.75
:1514952189_3,4.67
:1514952200_0,4.67
:1614405075_0,8.81
:1614405075_1,11.05
:1614405075_2,2.01
:1614405075_6,2.81
:1614405075_3,10.77
:1614405075_4,3.49
:1614405075_5,2.39
:1614405075_7,8.06
:1614405075_8,2.39
:1614640780_0,4.85
:161561833-AddedOffRampNode_0,8.20
:161561835-AddedOffRampNode_0,8.40
:1618529174_0,4.67
:16225541#1-AddedOffRampNode_0,8.20
:16225541#3-AddedOnRampNode_0,8.00
:16228729#1-AddedOffRampNode_0,8.20
:164784759_0,5.79
:164784759_1,4.67
:164784761_0,9.03
:164784761_1,14.43
:164784761_2,9.06
:164784761_3,2.56
:164784761_4,2.11
:164784764_0,9.03
:164784764_1,14.48
:164784764_2,11.92
:164784764_3,11.40
:164784764_4,4.13
:164784764_5,2.34
:164784764_9,7.64
:164784764_10,2.34
:164784764_6,9.14
:164784764_7,11.33
:164784764_8,2.34
:164784764_11,2.34
:164784765_0,9.03
:164784765_1,14.44
:164784765_2,11.79
:164784765_3,11.27
:164784765_4,4.04
:164784765_5,2.34
:164784765_9,7.70
:164784765_10,2.34
:164784765_6,9.12
:164784765_7,11.28
:164784765_8,2.34
:164784765_11,2.34
:164788179_0,10.98
:164788179_1,15.60
:164788179_2,4.67
:164788179_3,9.10
:164788179_4,14.72
:164788179_5,2.34
:164788179_9,2.34
:164788179_6,14.62
:164788179_7,5.35
:164788179_8,2.34
:164788179_10,9.53
:164788179_11,2.34
:164788180_0,8.15
:164788180_1,10.95
:164788180_2,9.34
:164788180_3,2.34
:164788180_6,2.34
:164788180_4,9.47
:164788180_5,2.34
:164788180_7,2.34
:164788181_0,9.07
:164788181_1,11.34
:164788181_2,2.34
:164788181_6,2.34
:164788181_3,11.44
:164788181_4,3.81
:164788181_5,2.34
:164788181_7,8.25
:164788181_8,2.34
:164788182_0,9.03
:164788182_1,11.79
:164788182_2,11.29
:164788182_3,2.34
:164788182_8,2.34
:164788182_4,9.09
:164788182_5,11.91
:164788182_6,11.47
:164788182_7,2.34
:164788182_9,2.34
:164788185_0,8.88
:164788185_1,10.93
:164788185_2,2.34
:164788185_6,2.34
:164788185_3,10.83
:164788185_4,3.92
:164788185_5,2.34
:164788185_7,7.62
:164788185_8,2.34
:164788186_0,8.79
:164788186_1,11.44
:164788186_2,10.77
:164788186_3,2.34
:164788186_6,2.34
:164788186_4,10.62
:164788186_5,2.34
:164788186_7,2.34
:164788187_0,9.03
:164788187_1,11.31
:164788187_2,2.34
:164788187_9,2.34
:164788187_3,9.38
:164788187_4,14.46
:164788187_5,11.81
:164788187_6,11.53
:164788187_7,4.27
:164788187_8,2.34
:164788187_10,7.52
:164788187_11,2.34
:164788188_0,8.93
:164788188_1,14.31
:164788188_2,11.69
:164788188_3,11.12
:164788188_4,4.10
:164788188_5,2.34
:164788188_9,7.58
:164788188_10,2.34
:164788188_6,9.02
:164788188_7,11.08
:164788188_8,2.34
:164788188_11,2.34
:164788189_0,9.03
:164788189_1,14.14
:164788189_2,4.67
:164788189_3,9.15
:164788189_4,14.33
:164788189_5,2.34
:164788189_9,2.34
:164788189_6,14.18
:164788189_7,5.69
:164788189_8,2.34
:164788189_10,8.50
:164788189_11,2.34
:164788191_0,11.11
:164788191_1,16.22
:164788191_3,9.05
:164788191_4,21.66
:164788191_5,11.16
:164788191_6,16.06
:164788191_8,9.04
:164788191_9,21.85
:164794360_0,9.22
:164794360_1,11.62
:164794360_2,11.26
:164794360_3,2.34
:164794360_8,2.34
:164794360_4,9.13
:164794360_5,11.61
:164794360_6,11.23
:164794360_7,2.34
:164794360_9,2.34
:164794361_0,9.03
:164794361_1,11.23
:164794361_2,2.34
:164794361_9,2.34
:164794361_3,9.09
:164794361_4,14.41
:164794361_5,11.75
:164794361_6,11.29
:164794361_7,4.09
:164794361_8,2.34
:164794361_10,7.66
:164794361_11,2.34
:164794362_0,9.08
:164794362_1,11.26
:164794362_2,2.34
:164794362_9,2.34
:164794362_3,9.02
:164794362_4,14.46
:164794362_5,11.89
:164794362_6,11.38
:164794362_7,4.19
:164794362_8,2.34
:164794362_10,7.60
:164794362_11,2.34
:164794363_0,9.03
:164794363_1,11.21
:164794363_2,2.34
:164794363_9,2.34
:164794363_3,9.05
:164794363_4,14.40
:164794363_5,11.74
:164794363_6,11.23
:164794363_7,4.06
:164794363_8,2.34
:164794363_10,7.67
:164794363_11,2.34
:164796399_0,15.54
:164796399_1,13.21
:164796399_2,2.55
:164796399_6,2.12
:164796399_3,8.40
:164796399_4,3.47
:164796399_5,2.09
:164796399_7,11.26
:164796399_8,2.59
:164796401_0,9.16
:164796401_1,11.32
:164796401_2,2.34
:164796401_9,2.34
:164796401_3,9.03
:164796401_4,14.49
:164796401_5,11.91
:164796401_6,11.41
:164796401_7,4.17
:164796401_8,2.34
:164796401_10,7.63
:164796401_11,2.34
:164796404_0,9.03
:164796404_1,11.20
:164796404_2,2.34
:164796404_9,2.34
:164796404_3,9.03
:164796404_4,14.40
:164796404_5,11.73
:164796404_6,11.21
:164796404_7,4.05
:164796404_8,2.34
:164796404_10,7.68
:164796404_11,2.34
:164796405_0,9.03
:164796405_1,14.41
:164796405_2,11.75
:164796405_3,11.23
:164796405_4,4.06
:164796405_5,2.34
:164796405_9,7.67
:164796405_10,2.34
:164796405_6,9.04
:164796405_7,11.21
:164796405_8,2.34
:164796405_11,2.34
:164796407_0,9.03
:164796407_1,11.24
:164796407_2,2.34
:164796407_9,2.34
:164796407_3,9.12
:164796407_4,14.43
:164796407_5,11.73
:164796407_6,11.27
:164796407_7,4.07
:164796407_8,2.34
:164796407_10,7.69
:164796407_11,2.34
:164796409_0,9.05
:164796409_1,14.42
:164796409_2,11.80
:164796409_3,11.30
:164796409_4,4.11
:164796409_5,2.34
:164796409_9,7.64
:164796409_10,2.34
:164796409_6,9.03
:164796409_7,11.23
:164796409_8,2.34
:164796409_11,2.34
:164801044_0,8.62
:164801044_1,10.39
:164801044_2,2.34
:164801044_6,2.34
:164801044_3,10.37
:164801044_4,4.00
:164801044_5,2.34
:164801044_7,7.28
:164801044_8,2.34
:164801045_0,9.15
:164801045_1,14.44
:164801045_2,11.75
:164801045_3,11.28
:164801045_4,4.09
:164801045_5,2.34
:164801045_9,7.69
:164801045_10,2.34
:164801045_6,9.03
:164801045_7,11.26
:164801045_8,2.34
:164801045_11,2.34
:164801049_0,9.03
:164801049_1,14.40
:164801049_2,11.73
:164801049_3,11.21
:164801049_4,4.05
:164801049_5,2.34
:164801049_9,7.68
:164801049_10,2.34
:164801049_6,9.03
:164801049_7,11.20
:164801049_8,2.34
:164801049_11,2.34
:164802407_0,12.54
:164802407_1,2.34
:164802407_6,2.34
:164802407_2,12.53
:164802407_3,2.34
:164802407_7,2.34
:164802407_4,9.75
:164802407_5,13.92
:164802409_0,9.03
:164802409_1,11.23
:164802409_2,2.34
:164802409_9,2.34
:164802409_3,9.09
:164802409_4,14.42
:164802409_5,11.73
:164802409_6,11.25
:164802409_7,4.06
:164802409_8,2.34
:164802409_10,7.70
:164802409_11,2.34
:164802411_0,8.82
:164802411_1,10.83
:164802411_2,2.34
:164802411_6,2.34
:164802411_3,10.66
:164802411_4,3.83
:164802411_5,2.34
:164802411_7,7.64
:164802411_8,2.34
:164805638_0,10.08
:164805638_1,14.72
:164805638_2,13.25
:164805638_3,14.41
:164805638_4,5.94
:164805638_5,2.34
:164805638_12,8.42
:164805638_13,2.34
:164805638_6,9.04
:164805638_7,14.25
:164805638_8,4.67
:164805638_9,9.24
:164805638_10,14.41
:164805638_11,2.34
:164805638_14,2.34
:164805641_0,8.93
:164805641_1,11.61
:164805641_2,2.34
:164805641_9,2.34
:164805641_3,9.57
:164805641_4,14.52
:164805641_5,11.93
:164805641_6,11.49
:164805641_7,4.23
:164805641_8,2.34
:164805641_10,7.80
:164805641_11,2.34
:164805643_0,9.09
:164805643_1,14.44
:164805643_2,5.79
:164805643_3,2.34
:164805643_16,8.41
:164805643_17,2.34
:164805643_4,9.04
:164805643_5,14.48
:164805643_6,5.93
:164805643_7,2.34
:164805643_18,8.36
:164805643_19,2.34
:164805643_8,9.22
:164805643_9,14.53
:164805643_10,6.09
:164805643_11,2.34
:164805643_20,8.21
:164805643_21,2.34
:164805643_12,9.03
:164805643_13,14.48
:164805643_14,5.98
:164805643_15,2.34
:164805643_22,8.29
:164805643_23,2.34
:164805646_0,14.57
:164805646_1,22.43
:164805646_2,21.21
:164805646_3,3.55
:164805646_4,2.34
:164805646_15,7.29
:164805646_16,2.34
:164805646_5,16.79
:164805646_6,17.53
:164805646_7,14.48
:164805646_8,2.75
:164805646_9,1.82
:164805646_17,9.03
:164805646_18,2.86
:164805646_10,11.80
:164805646_11,14.54
:164805646_12,21.80
:164805646_13,21.32
:164805646_14,2.74
:164805646_19,1.93
:164805649_0,9.03
:164805649_1,14.41
:164805649_2,11.74
:164805649_3,11.21
:164805649_4,4.04
:164805649_5,2.34
:164805649_9,7.69
:164805649_10,2.34
:164805649_6,9.05
:164805649_7,11.21
:164805649_8,2.34
:164805649_11,2.34
:164805650_0,9.03
:164805650_1,14.41
:164805650_2,11.74
:164805650_3,11.21
:164805650_4,4.04
:164805650_5,2.34
:164805650_9,7.69
:164805650_10,2.34
:164805650_6,9.04
:164805650_7,11.21
:164805650_8,2.34
:164805650_11,2.34
:164805655_0,9.27
:164805655_1,14.51
:164805655_2,14.24
:164805655_3,4.67
:164805655_4,9.03
:164805655_5,14.51
:164805655_6,6.06
:164805655_7,2.34
:164805655_16,8.18
:164805655_17,2.34
:164805655_8,9.04
:164805655_9,14.44
:164805655_10,14.24
:164805655_11,4.67
:164805655_12,9.03
:164805655_13,14.44
:164805655_14,5.85
:164805655_15,2.34
:164805655_18,8.45
:164805655_19,2.34
:164805656_0,9.19
:164805656_1,14.46
:164805656_2,5.86
:164805656_3,2.34
:164805656_16,8.32
:164805656_17,2.34
:164805656_4,9.04
:164805656_5,14.52
:164805656_6,14.18
:164805656_7,4.67
:164805656_8,9.06
:164805656_9,14.49
:164805656_10,6.22
:164805656_11,2.34
:164805656_18,8.17
:164805656_19,2.34
:164805656_12,9.09
:164805656_13,14.44
:164805656_14,14.28
:164805656_15,4.67
:164805659_0,16.33
:164805659_1,19.52
:164805659_3,5.36
:164805659_4,2.34
:164805659_18,11.76
:164805659_19,2.34
:164805659_5,9.04
:164805659_6,24.42
:164805659_7,10.04
:164805659_8,2.56
:164805659_20,10.90
:164805659_21,2.12
:164805659_9,13.67
:164805659_10,19.52
:164805659_12,7.14
:164805659_13,2.34
:164805659_22,14.06
:164805659_23,2.34
:164805659_14,9.31
:164805659_15,22.74
:164805659_16,7.49
:164805659_17,2.16
:164805659_24,13.73
:164805659_25,2.51
:164808925_0,9.03
:164808925_1,11.26
:164808925_2,2.34
:164808925_9,2.34
:164808925_3,9.17
:164808925_4,14.44
:164808925_5,11.73
:164808925_6,11.31
:164808925_7,4.09
:164808925_8,2.34
:164808925_10,7.69
:164808925_11,2.34
:164808926_0,11.12
:164808926_1,2.34
:164808926_6,2.34
:164808926_2,8.99
:164808926_3,11.68
:164808926_4,11.12
:164808926_5,2.34
:164808926_7,2.34
:164820521_0,8.15
:164820521_1,8.26
:164820526_0,27.65
:164820526_1,27.91
:164820529_0,8.05
:164820534_0,8.23
:164820534_1,8.26
